id,nobelwinners,category,year,sex
524,Torsten Wiesel,physiology or medicine,1981,M
525,Elias Canetti,literature,1981,M
526,United Nations High Commissioner for Refugees,peace,1981,M
527,James Tobin,economics,1981,M
528,Kenneth G. Wilson,physics,1982,M
529,Aaron Klug,chemistry,1982,M
530,Sune Bergström,physiology or medicine,1982,M
531,Bengt I. Samuelsson,physiology or medicine,1982,M
532,John Vane,physiology or medicine,1982,M
533,Gabriel García Márquez,literature,1982,M
534,Alva Myrdal,peace,1982,F
535,Alfonso García Robles,peace,1982,M
536,George Stigler,economics,1982,M
537,Subrahmanyan Chandrasekhar,physics,1983,M
538,William Alfred Fowler,physics,1983,M
539,Henry Taube,chemistry,1983,M
540,Barbara McClintock,physiology or medicine,1983,F
541,William Golding,literature,1983,M
542,Lech Wałęsa,peace,1983,M
543,Gérard Debreu,economics,1983,M
544,Carlo Rubbia,physics,1984,M
545,Simon van der Meer,physics,1984,M
546,Robert Bruce Merrifield,chemistry,1984,M
547,Niels Kaj Jerne,physiology or medicine,1984,M
548,Georges J. F. Köhler,physiology or medicine,1984,M
549,César Milstein,physiology or medicine,1984,M
550,Jaroslav Seifert,literature,1984,M
551,Desmond Tutu,peace,1984,M
552,Richard Stone,economics,1984,M
553,Klaus von Klitzing,physics,1985,M
554,Herbert A. Hauptman,chemistry,1985,M
555,Jerome Karle,chemistry,1985,M
556,Michael Stuart Brown,physiology or medicine,1985,M
557,Joseph L. Goldstein,physiology or medicine,1985,M
558,Claude Simon,literature,1985,M
559,International Physicians for the Prevention of Nuclear War,peace,1985,M
560,Franco Modigliani,economics,1985,M
561,Ernst Ruska,physics,1986,M
562,Gerd Binnig,physics,1986,M
563,Heinrich Rohrer,physics,1986,M
564,Dudley R. Herschbach,chemistry,1986,M
565,Yuan T. Lee,chemistry,1986,M
566,John Polanyi,chemistry,1986,M
567,Stanley Cohen,physiology or medicine,1986,M
568,Rita Levi-Montalcini,physiology or medicine,1986,F
569,Wole Soyinka,literature,1986,M
570,Elie Wiesel,peace,1986,M
571,James M. Buchanan,economics,1986,M
572,Johannes Georg Bednorz,physics,1987,M
573,Karl Alexander Müller,physics,1987,M
574,Donald J. Cram,chemistry,1987,M
575,Jean-Marie Lehn,chemistry,1987,M
576,Charles J. Pedersen,chemistry,1987,M
577,Susumu Tonegawa,physiology or medicine,1987,M
578,Joseph Brodsky,literature,1987,M
579,Óscar Arias,peace,1987,M
580,Robert Solow,economics,1987,M
581,Leon M. Lederman,physics,1988,M
582,Melvin Schwartz,physics,1988,M
583,Jack Steinberger,physics,1988,M
584,Johann Deisenhofer,chemistry,1988,M
585,Robert Huber,chemistry,1988,M
586,Hartmut Michel,chemistry,1988,M
587,James W. Black,physiology or medicine,1988,M
588,Gertrude B. Elion,physiology or medicine,1988,F
589,George H. Hitchings,physiology or medicine,1988,M
590,Naguib Mahfouz,literature,1988,M
591,United Nations Peace-Keeping Forces,peace,1988,M
592,Maurice Allais,economics,1988,M
593,"Norman Foster Ramsey, Jr.",physics,1989,M
594,Hans Georg Dehmelt,physics,1989,M
595,Wolfgang Paul,physics,1989,M
